Institution Name,Cert,FIN,Location,Effective Date,Ins. Fund,Transaction Type,Charter Class,Failure / Assistance,Total Deposits,Total Assets,Estimated Loss,City,ST,Acquiring Institution,lat,lng
"CORUS BANK, N.A.",13693,10117,"CHICAGO, IL",9/11/2009,DIF,PA ,N ,FAILURE,"7,060,693","7,003,321","32,205",Chicago,IL,"MB Financial Bank, N.A.",41.878114,-87.629798
VENTURE BANK,22868,10119,"LACEY, WA",9/11/2009,DIF,PA ,NM ,FAILURE,"917,729","968,385","214,758",Lacey,WA,First-Citizens Bank & Trust Company,47.034263,-122.823192
BRICKWELL COMMUNITY BANK,57736,10118,"WOODBURY, MN",9/11/2009,DIF,PA ,NM ,FAILURE,"64,981","72,576","24,597",Woodbury,MN,CorTrust Bank N.A.,44.923855,-92.95938
PLATINUM COMMUNITY BANK,35030,10115,"ROLLING MEADOWS, IL",9/4/2009,DIF,PO ,SB ,FAILURE,"110,186","147,961",95,Rolling Meadows,IL,No Acquirer,42.084194,-88.013127
FIRST STATE BANK,34875,10114,"FLAGSTAFF, AZ",9/4/2009,DIF,PA ,NM ,FAILURE,"95,734","107,235","49,833",Flagstaff,AZ,Sunwest Bank,35.198284,-111.651302
VANTUS BANK,27732,10116,"SIOUX CITY, IA",9/4/2009,DIF,PA ,SB ,FAILURE,"394,369","503,643","103,196",Sioux City,IA,Great Southern Bank,42.499994,-96.400307
FIRST BANK OF KANSAS CITY,25231,10112,"KANSAS CITY, MO",9/4/2009,DIF,PA ,NM ,FAILURE,"14,479","15,723","7,548",Kansas City,MO,Great American Bank,39.099727,-94.578567
INBANK,20203,10113,"OAK FOREST, IL",9/4/2009,DIF,PA ,NM ,FAILURE,"209,211","209,848","56,911",Oak Forest,IL,"MB Financial Bank, N.A.",41.602812,-87.743938
BRADFORD BANK,28312,10109,"BALTIMORE, MD",8/28/2009,DIF,PA ,SB ,FAILURE,"382,159","451,888","51,313",Baltimore,MD,Manufacturers and Traders Trust Company (M&T Bank),39.290385,-76.612189
AFFINITY BANK,27197,10110,"VENTURA, CA",8/28/2009,DIF,PA ,NM ,FAILURE,"905,593","1,211,431","234,872",Ventura,CA,Pacific Western Bank,34.274646,-119.229032
MAINSTREET BANK,1909,10111,"FOREST LAKE, MN",8/28/2009,DIF,PA ,NM ,FAILURE,"432,818","458,533","90,677",Forest Lake,MN,Central Bank,45.278856,-92.985218
GUARANTY BANK,32618,10105,"AUSTIN, TX",8/21/2009,DIF,PA ,SB ,FAILURE,"11,984,112","13,464,352",0,Austin,TX,BBVA Compass,30.267153,-97.743061
EBANK,34682,10107,"ATLANTA, GA",8/21/2009,DIF,PA ,SB ,FAILURE,"131,510","144,688","51,661",Atlanta,GA,"Stearns Bank, N.A.",33.748995,-84.387982
FIRST COWETA,57702,10108,"NEWNAN, GA",8/21/2009,DIF,PA ,NM ,FAILURE,"154,903","163,755","66,684",Newnan,GA,United Bank,33.380672,-84.799657
CAPITALSOUTH BANK,22130,10106,"BIRMINGHAM, AL",8/21/2009,DIF,PA ,SM ,FAILURE,"539,422","586,586","126,753",Birmingham,AL,IBERIABANK,33.520661,-86.80249
COMMUNITY BANK OF ARIZONA,57645,10101,"PHOENIX, AZ",8/14/2009,DIF,PA ,NM ,FAILURE,"143,834","158,517","27,723",Phoenix,AZ,MidFirst Bank,33.448377,-112.074037
COMMUNITY BANK OF NEVADA,34043,10100,"LAS VEGAS, NV",8/14/2009,DIF,PO ,SM ,FAILURE,"1,372,744","1,397,798","565,531",Las Vegas,NV,No Acquirer,36.169941,-115.13983
"UNION BANK, NATIONAL ASSOCIATION",34485,10102,"GILBERT, AZ",8/14/2009,DIF,PA ,N ,FAILURE,"110,362","119,529","53,565",Gilbert,AZ,MidFirst Bank,33.352826,-111.789027
DWELLING HOUSE SAVINGS AND LOAN,31559,10104,"PITTSBURGH, PA",8/14/2009,DIF,PA ,SB ,FAILURE,"12,984","12,947","9,140",Pittsburgh,PA,"PNC Bank, N.A.",40.440625,-79.995886
COLONIAL BANK,9609,10103,"MONTGOMERY, AL",8/14/2009,DIF,PA ,NM ,FAILURE,"20,072,099","25,455,112","2,983,542",Montgomery,AL,"Branch Banking & Trust Company, (BB&T)",32.366805,-86.299969
FIRST STATE BANK,27364,10098,"SARASOTA, FL",8/7/2009,DIF,PA ,NM ,FAILURE,"394,701","447,667","121,899",Sarasota,FL,"Stearns Bank, N.A.",27.336435,-82.530653
COMMUNITY NATIONAL BANK OF SARASOTA COUNTY,27183,10099,"VENICE, FL",8/7/2009,DIF,PA ,N ,FAILURE,"92,352","92,528","25,976",Venice,FL,"Stearns Bank, N.A.",27.099777,-82.454263
COMMUNITY FIRST BANK,23268,10092,"PRINEVILLE, OR",8/7/2009,DIF,PA ,SM ,FAILURE,"180,691","199,508","74,175",Prineville,OR,Home Federal Bank,44.299849,-120.834466
FIRST STATE BANK OF ALTUS,9873,10093,"ALTUS, OK",7/31/2009,DIF,PA ,NM ,FAILURE,"98,161","90,867","27,184",Altus,OK,Herring Bank,34.637765,-99.334044
MUTUAL BANK,18659,10094,"HARVEY, IL",7/31/2009,DIF,PA ,NM ,FAILURE,"1,546,525","1,595,657","797,140",Harvey,IL,United Central Bank,41.610034,-87.646713
PEOPLES COMMUNITY BANK,32288,10096,"WEST CHESTER, OH",7/31/2009,DIF,PA ,SB ,FAILURE,"538,787","606,153","66,587",West Chester,OH,"First Financial Bank, N.A.",39.332126,-84.417267
FIRST BANKAMERICANO,34270,10097,"ELIZABTH, NJ",7/31/2009,DIF,PA ,NM ,FAILURE,"155,463","163,372","18,783",Elizabeth,NJ,Crown Bank,40.663992,-74.210701
INTEGRITY BANK,57604,10095,"JUPITER, FL",7/31/2009,DIF,PA ,NM ,FAILURE,"98,511","105,298","37,239",Jupiter,FL,Stonegate Bank,26.934225,-80.094209
WATERFORD VILLAGE BANK,58065,10091,"WILLIAMSVILLE, NY",7/24/2009,DIF,PA ,NM ,FAILURE,"56,145","55,707","7,875",Williamsville,NY,"Evans Bank, N.A.",42.963947,-78.737809
SECURITY BANK OF NORTH METRO,57105,10090,"WOODSTOCK, GA",7/24/2009,DIF,PA ,NM ,FAILURE,"182,413","184,184","102,031",Woodstock,GA,State Bank and Trust Company,34.101487,-84.519375
